2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 181 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 182 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 183 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 184 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 185 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 186 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 187 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 188 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 189 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 190 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 191 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 192 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 193 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 194 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 195 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 196 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 197 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 198 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 199 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 200 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 201 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:20 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 202 failed: 'NoneType' object has no attribute 'has'
